Company Name,Founded Year
SpaceX,2002
CASC (China Aerospace Science and Technology Corporation),1999
Roscosmos,1992
ULA (United Launch Alliance),2006
JAXA (Japan Aerospace Exploration Agency),2003
Northrop Grumman,1994
ExPace,2016
IAI (Israel Aerospace Industries),1953
Rocket Lab,2006
Virgin Orbit,2017
VKS RF,2015
MHI (Mitsubishi Heavy Industries),1884
IRGC,1979
Arianespace,1980
ISA (Israel Space Agency),1983
Blue Origin,2000
ISRO (Indian Space Research Organisation),1969
Exos Aerospace,2015
ILS (International Launch Services),1995
i-Space,2016
OneSpace,2015
Landspace,2015
Eurockot,1995
Land Launch,2002
CASIC,1999
KCST,2013
Sandia,1945
Kosmotras,1997
Khrunichev,1916
Sea Launch,1995
KARI,1989
ESA,1975
NASA,1958
Boeing,1916
ISAS,1964
SRC,1967
MITT,1953
Lockheed,1994
AEB,1996
Starsem,1996
RVSN USSR,1959
EER,1979
General Dynamics,1952
Martin Marietta,1961
Yuzhmash,1944
Douglas,1921
ASI,1988
US Air Force,1954
CNES,1961
CECLES,2000
RAE,1991
UT,1967
OKB-586,1951
AMBA,1959
Armée de l'Air,1909
US Navy,1775
